"site","fac_1","fac_2","psi"
"BLUE_ID_2018_1",0.0133320691449286,0.00224509123911907,0.463331966858667
"BLUE_ID_2018_2",0.239715968669879,0.0407963313821517,0.354395503796795
"BLUE_ID_2018_3",0.274414259981063,0.0672380270064843,0.15792879379012
"BLUE_ID_2019_1",0.23740730223563,0.0866028806031303,0.148038153072914
"BLUE_ID_2019_2",0.49309872842838,0.196928766690399,0.0991270297612564
"BLUE_ID_2019_3",0.230012613896942,0.101707571894787,0.138839908187038
"BLUE_ID_2019_4",0.673987059782852,0.21544720728192,0.56245701905936
"BLUE_OR_2018_1",0.0914646194455572,0.0278933028445111,0.323642411132486
"BLUE_OR_2018_2",0.162317909424844,0.0527815291213439,0
"BLUE_OR_2018_3",0.562853363430851,0.215104062811919,0.134733123492913
"BLUE_OR_2019_1",0.0923079066967766,0.174594078638281,0.103024336443102
"BLUE_OR_2019_2",0.558664064855597,0.192060764830768,0
"BLUE_OR_2019_3",0.265677437589526,0.105532762435476,0
"BLUE_OR_2019_4",0.463062863265016,0.125076443563552,0
"BLUE_WA_2018_1",0.247629730768651,0.0874381203752662,0.37393117902978
"BLUE_WA_2018_2",0.496120849897097,-0.178149857419582,0.329336713398055
"BLUE_WA_2018_3",0.503254177453594,-0.23970672673908,0.098327781414471
"BLUE_WA_2019_1",0.653528422739017,-0.139945521846227,0.839241005572168
"BLUE_WA_2019_2",0.680465683868018,0.0508361792709003,0
"BLUE_WA_2019_3",0.600376346748588,-0.317195907273029,0.0518498412997066
"BLUE_WA_2019_4",0.434792054102415,-0.240905699588233,0.102228043991345
"BLUE_WA_2019_5",0.421304027002175,-0.276943115901113,0.0720562612247426
