"env","component","Estimate","SE"
"ID_2018","VG",0.164908412243751,0.363469093733075
"ID_2018","h2",0.115848779311595,0.276924511281379
"ID_2019","VG",1.56026944300653,0.819556778513584
"ID_2019","h2",0.570964099257217,0.244703069461243
"OR_2018","VG",1.67670278480421,0.794951933701536
"OR_2018","h2",0.505227446741895,0.134406794582825
"OR_2019","VG",2.40007389855383,1.12765295229849
"OR_2019","h2",0.734349033041634,0.17071439531466
"OR_2020","VG",1.63433400283376,0.718218061728937
"OR_2020","h2",0.456367375896881,0.276781187966187
"WA_2018","VG",0.578294290932679,0.220071200811574
"WA_2018","h2",0.230581003120966,0.195144683170703
"WA_2019","VG",1.80588085865205,0.600659884017402
"WA_2019","h2",0.490666876378162,0.275133811588345
"WA_2020","VG",2.50188803903527,1.221322888586
"WA_2020","h2",0.56041915531464,0.518051189606505
