stage	trait	loc	year	cut
ST0	DM	ID	2019	1
ST0	DM	WA	2019	1
ST0	MS	ID	2018	1
ST0	MS	OR	2018	1
ST0	MS	OR	2019	1
ST0	MS	OR	2020	1
ST0	MS	WA	2018	1
ST0	MS	WA	2020	2
ST0	MS	WA	2020	5
ST0	PH	ID	2019	1
ST0	PH	OR	2018	1
ST0	PH	OR	2019	2
ST0	PH	OR	2020	2
ST0	PH	OR	2020	3
ST0	PH	WA	2019	2
ST0	PH	WA	2020	1
ST0	R	FD	ID	2019
ST0	R	FD	WA	2018
ST0	S	FD	ID	2019
ST0	S	FD	WA	2018
ST0	Yi	ID	2018	1
ST0	Yi	ID	2019	1
ST0	Yi	OR	2019	4
ST0	Yi	OR	2020	1
ST0	Yi	WA	2018	3
ST0	Yi	WA	2020	2
ST1	DM	WA	2019	1
ST1	MS	ID	2018	1
ST1	MS	ID	2019	1
ST1	MS	OR	2018	1
ST1	MS	WA	2020	2
ST1	MS	WA	2020	5
ST1	PH	ID	2019	1
ST1	PH	OR	2018	1
ST1	PH	OR	2019	2
ST1	PH	OR	2020	2
ST1	PH	OR	2020	3
ST1	PH	WA	2018	1
ST1	PH	WA	2019	1
ST1	R	FD	WA	2018
ST1	R	FD	WA	2019
ST1	S	FD	WA	2018
ST1	S	FD	WA	2019
ST1	Yi	ID	2019	1
ST1	Yi	OR	2020	1
ST1	Yi	WA	2018	3
ST1	Yi	WA	2019	4
ST1	Yi	WA	2019	5
ST1	Yi	WA	2020	2
ST1	Yi	WA	2020	3
ST3	DM	ID	NA	NA
ST3	DM	OR	NA	NA
ST3	DM	WA	NA	NA
ST3	MS	ID	NA	NA
ST3	MS	OR	NA	NA
ST3	PH	ID	NA	NA
ST3	PH	OR	NA	NA
ST3	R	FD	ID	NA
ST3	R	FD	WA	NA
ST3	S	FD	ID	NA
ST3	S	FD	WA	NA
ST3	Yi	OR	NA	NA
ST3	Yi	WA	NA	NA
ST4	PH	NA	NA	NA
